date,fuel_type,price_npr,source
2021-06-02,diesel,100,NOC historical seed
2021-06-02,kerosene,86,NOC historical seed
2021-06-02,lpg,1375,NOC historical seed
2021-06-02,petrol,115,NOC historical seed
2021-06-03,diesel,100,NOC historical seed
2021-06-03,kerosene,86,NOC historical seed
2021-06-03,lpg,1375,NOC historical seed
2021-06-03,petrol,115,NOC historical seed
2021-06-04,diesel,100,NOC historical seed
2021-06-04,kerosene,86,NOC historical seed
2021-06-04,lpg,1375,NOC historical seed
2021-06-04,petrol,115,NOC historical seed
2021-06-05,diesel,100,NOC historical seed
2021-06-05,kerosene,86,NOC historical seed
2021-06-05,lpg,1375,NOC historical seed
2021-06-05,petrol,115,NOC historical seed
2021-06-06,diesel,100,NOC historical seed
2021-06-06,kerosene,86,NOC historical seed
2021-06-06,lpg,1375,NOC historical seed
2021-06-06,petrol,115,NOC historical seed
2021-06-07,diesel,100,NOC historical seed
2021-06-07,kerosene,86,NOC historical seed
2021-06-07,lpg,1375,NOC historical seed
2021-06-07,petrol,115,NOC historical seed
2021-06-08,diesel,100,NOC historical seed
2021-06-08,kerosene,86,NOC historical seed
2021-06-08,lpg,1375,NOC historical seed
2021-06-08,petrol,115,NOC historical seed
2021-06-09,diesel,100,NOC historical seed
2021-06-09,kerosene,86,NOC historical seed
2021-06-09,lpg,1375,NOC historical seed
2021-06-09,petrol,115,NOC historical seed
2021-06-10,diesel,100,NOC historical seed
2021-06-10,kerosene,86,NOC historical seed
2021-06-10,lpg,1375,NOC historical seed
2021-06-10,petrol,115,NOC historical seed
2021-06-11,diesel,100,NOC historical seed
2021-06-11,kerosene,86,NOC historical seed
2021-06-11,lpg,1375,NOC historical seed
2021-06-11,petrol,115,NOC historical seed
2021-06-12,diesel,100,NOC historical seed
2021-06-12,kerosene,86,NOC historical seed
2021-06-12,lpg,1375,NOC historical seed
2021-06-12,petrol,115,NOC historical seed
2021-06-13,diesel,100,NOC historical seed
2021-06-13,kerosene,86,NOC historical seed
2021-06-13,lpg,1375,NOC historical seed
2021-06-13,petrol,115,NOC historical seed
2021-06-14,diesel,100,NOC historical seed
2021-06-14,kerosene,86,NOC historical seed
2021-06-14,lpg,1375,NOC historical seed
2021-06-14,petrol,115,NOC historical seed
2021-06-15,diesel,100,NOC historical seed
2021-06-15,kerosene,86,NOC historical seed
2021-06-15,lpg,1375,NOC historical seed
2021-06-15,petrol,115,NOC historical seed
2021-06-16,diesel,100,NOC historical seed
2021-06-16,kerosene,86,NOC historical seed
2021-06-16,lpg,1375,NOC historical seed
2021-06-16,petrol,115,NOC historical seed
2021-06-17,diesel,100,NOC historical seed
2021-06-17,kerosene,86,NOC historical seed
2021-06-17,lpg,1375,NOC historical seed
2021-06-17,petrol,115,NOC historical seed
2021-06-18,diesel,100,NOC historical seed
2021-06-18,kerosene,86,NOC historical seed
2021-06-18,lpg,1375,NOC historical seed
2021-06-18,petrol,115,NOC historical seed
2021-06-19,diesel,100,NOC historical seed
